Depth,Gamma,K,U,TH,MagSusc
1.46,15.2171,0.0920,0.4090,1.0000,-0.0796
1.46,15.2170,0.0920,0.4090,1.0000,-0.0718
1.46,15.2170,0.0920,0.4090,1.0000,-0.0641
1.46,15.2170,0.0920,0.4090,1.0000,-0.0576
1.46,15.2170,0.0920,0.4090,1.0000,-0.0528
1.46,15.2170,0.0920,0.4090,1.0000,-0.0480
1.47,15.2170,0.0920,0.4090,1.0000,-0.0432
1.47,15.2170,0.0920,0.4090,1.0000,-0.0384
1.47,15.2170,0.0920,0.4090,1.0000,-0.0336
1.47,15.3194,0.0920,0.4090,1.0000,-0.0283
1.47,15.7291,0.0920,0.4090,1.0000,-0.0214
1.47,16.1389,0.0920,0.4090,1.0000,-0.0145
1.48,16.5486,0.0920,0.4090,1.0000,-0.0076
1.48,16.9584,0.0920,0.4090,1.0000,-0.0008
1.48,17.3681,0.0920,0.4090,1.0000,0.0061
1.48,17.7780,0.0920,0.4090,1.0000,0.0143
1.48,17.0670,0.0920,0.4090,1.0000,0.0269
1.48,16.3558,0.0920,0.4090,1.0000,0.0408
1.48,15.6445,0.0920,0.4090,1.0000,0.0548
1.49,13.3331,0.0946,0.4187,1.0000,0.1101
1.49,13.3331,0.0937,0.4152,1.0000,0.1064
1.49,13.3331,0.0927,0.4116,1.0000,0.1028
1.49,14.9333,0.0920,0.4090,1.0000,0.0687
1.49,14.2221,0.0920,0.4090,1.0000,0.0826
1.49,13.5108,0.0920,0.4090,1.0000,0.0952
1.5,14.0866,0.0760,0.4402,0.9996,0.0834
1.5,13.7851,0.0848,0.4365,0.9998,0.0992
1.5,13.4837,0.0936,0.4328,0.9999,0.1151
1.5,13.3330,0.0975,0.4292,1.0000,0.1199
1.5,13.3330,0.0966,0.4257,1.0000,0.1175
1.5,13.3330,0.0956,0.4222,1.0000,0.1138
1.51,14.9641,0.0430,0.4540,0.9990,0.0260
1.51,13.9516,0.0430,0.4540,0.9990,0.0340
1.51,12.9391,0.0430,0.4540,0.9990,0.0420
1.51,14.9909,0.0496,0.4512,0.9991,0.0359
