Depth,PenRate,PercPress,FeedPress,FlushAirPress,RotPress,DampPress
0.021,3.914,116.327,20.035,3.84,57.625,42.029
0.057,9.022,130.292,31.138,4.192,59.953,43.327
0.08,1.732,141.113,36.491,4.651,62.037,44.126
0.104,1.515,141.015,31.604,5.034,57.115,44.38
0.125,1.974,138.492,31.027,5.263,55.199,45.017
0.149,1.838,138.472,31.442,5.462,51.547,45.588
0.172,2.165,138.514,39.872,5.6,51.443,46.159
0.195,1.406,139.047,43.312,5.753,52.371,45.9
0.224,1.296,121.899,34.946,4.85,41.705,41.848
0.248,2.552,139.045,49.866,5.217,47.21,46.173
0.271,1.703,141.343,52.925,5.569,51.484,49.35
0.293,1.666,141.105,52.245,5.814,50.298,50.326
0.313,1.585,138.206,51.85,5.998,53.759,51.336
0.337,1.617,138.748,51.177,6.166,54.033,50.947
0.36,1.71,138.018,51.19,6.258,51.438,50.369
0.381,1.326,137.619,51.13,6.35,49.243,50
0.401,1.515,138.047,50.562,6.441,47.537,49.06
0.424,1.332,135.313,50.61,6.518,50.13,51.497
0.446,1.363,135.315,50.635,6.564,49.572,49.515
0.468,1.283,135.137,49.862,6.61,50.521,47.482
0.49,1.356,134.604,50.257,6.655,56.676,49.963
0.511,1.22,134.174,50.261,6.686,56.176,49.046
0.531,1.3,135.145,49.596,6.701,51.514,47.754
0.555,1.34,134.563,50.149,6.717,51.739,49.993
0.577,1.379,134.559,49.837,6.747,50.405,48.66
0.598,1.569,135.844,50.075,6.747,49.455,48.407
0.62,1.317,134.43,50.297,6.763,50.278,49.655
0.641,1.268,134.462,50.104,6.793,48.423,48.391
0.663,1.273,135.728,50.061,6.808,48.374,46.586
0.686,1.34,135.123,49.643,6.808,50.316,47.804
0.706,1.31,135.369,49.601,6.808,48.753,46.606
0.73,1.371,135.836,49.608,6.808,49.702,46.958
0.751,1.326,135.525,50.41,6.808,50.615,48.649
0.773,1.095,134.677,50.487,6.808,48.44,46.713
0.794,1.199,135.324,49.994,6.824,48.871,46.867
0.816,1.39,135.4,49.729,6.808,50.864,47.379
0.838,1.254,135.054,50.224,6.824,49.819,45.09
0.859,1.355,134.618,49.934,6.824,50.193,45.526
0.881,1.279,135.246,50.04,6.808,50.331,46.551
0.903,1.238,135.295,50.235,6.824,49.114,45.544
0.924,1.371,134.556,50.294,6.824,50.016,47.911
0.945,1.195,135.249,50.843,6.824,50.748,49.261
0.97,1.225,134.481,50.048,6.839,52.217,47.464
0.993,1.77,142.075,57.017,6.839,54.222,51.595
1.02,1.988,160.795,77.325,6.808,57.962,66.994
1.041,2.271,175.337,86.792,6.808,58.86,73.428
1.065,2.261,185.481,88.314,6.808,56.642,72.973
1.086,2.27,187.554,89.236,6.808,58.836,72.099
1.11,2.285,190.733,86.425,6.824,62.2,69.296
1.132,2.353,192.414,84.571,6.808,61.637,68.37
1.156,2.322,192.359,83.41,6.808,60.678,66.622
1.179,2.465,190.275,84.606,6.824,58.658,66.983
1.205,2.445,189.401,87.373,6.808,57.136,70.082
1.226,2.182,189.444,88.854,6.824,55.355,71.432
1.247,2.053,189.44,89.776,6.824,54.607,72.058
1.275,2.045,188.699,89.121,6.824,53.933,70.802
1.302,2.042,189.394,89.135,6.824,53.901,69.878
1.322,2.145,189.047,89.047,6.824,54.11,71.858
