Depth,Gamma,K,U,Th,MagSusc
1.04,14.32713,0.405688,0.3368623,0.9976234,0.04986781
1.04,14.26465,0.403412,0.348113,0.99761,0.0572514
1.04,14.20218,0.4011363,0.3593629,0.9975967,0.06295595
1.04,14.13974,0.3988617,0.3706069,0.9975834,0.06702314
1.04,14.11144,0.3939078,0.3875857,0.9975789,0.0694967
1.04,14.08315,0.3889568,0.4045543,0.9975744,0.07071123
1.04,14.05487,0.3840061,0.4215216,0.99757,0.07097282
1.05,14.02659,0.3790551,0.4384902,0.9975655,0.07055915
1.05,13.9983,0.3741041,0.4554588,0.9975611,0.06974797
1.05,13.97002,0.3691531,0.4724275,0.9975566,0.06879332
1.05,13.95666,0.3627645,0.4916944,0.9975588,0.06787905
1.05,13.94826,0.3558984,0.5117239,0.9975633,0.06704608
1.05,13.93986,0.3490318,0.531755,0.9975678,0.0662865
1.06,13.93147,0.3421652,0.551786,0.9975722,0.06558841
1.06,13.92307,0.3352986,0.5718171,0.9975767,0.06493993
1.06,13.91468,0.3284326,0.5918466,0.9975812,0.06432907
1.06,13.88316,0.3208322,0.6121156,0.9975923,0.06359849
1.06,13.82856,0.3124989,0.6326224,0.99761,0.06264774
1.06,13.77396,0.3041657,0.653129,0.9976278,0.06143288
1.07,13.71936,0.295833,0.6736342,0.9976456,0.0596855
1.07,13.66476,0.2874997,0.6941409,0.9976633,0.05713719
1.07,13.61016,0.2791665,0.7146477,0.9976811,0.05351957
1.07,13.55099,0.270742,0.7353623,0.9977,0.04863567
1.07,13.47815,0.2620443,0.7567001,0.9977222,0.04231509
1.07,13.40532,0.2533472,0.7780364,0.9977444,0.03439514
1.08,13.33248,0.2446494,0.7993742,0.9977667,0.02491176
1.08,13.25964,0.2359517,0.820712,0.9977889,0.01396673
1.08,13.1868,0.2272539,0.8420498,0.9978111,0.001661813
1.08,13.11397,0.2185568,0.8633861,0.9978334,-0.01192963
1.08,13.04216,0.2107924,0.8860528,0.99786,-0.02676213
1.08,12.97036,0.2030279,0.9087194,0.9978867,-0.04234121
1.08,12.89855,0.1952635,0.9313861,0.9979134,-0.05820416
1.09,12.82675,0.1874991,0.9540528,0.99794,-0.07391997
1.09,12.75495,0.1797352,0.9767178,0.9979667,-0.0890576
1.09,12.68315,0.1719708,0.9993845,0.9979934,-0.1031876
1.09,12.65143,0.1654028,1.021215,0.9980233,-0.1158842
1.09,12.63309,0.1592339,1.042766,0.9980544,-0.1271186
1.09,12.61475,0.1530655,1.064315,0.9980856,-0.1369682
1.1,12.59641,0.1468966,1.085866,0.9981167,-0.1454327
1.1,12.57806,0.1407277,1.107418,0.9981478,-0.1525123
1.1,12.55972,0.1345589,1.128969,0.9981789,-0.158207
1.1,12.55505,0.1295208,1.148739,0.99821,-0.1627417
1.1,12.56407,0.1256142,1.16673,0.9982411,-0.1662775
1.1,12.57309,0.1217075,1.184721,0.9982722,-0.1689123
1.11,12.5821,0.1178008,1.202713,0.9983034,-0.1704093
1.11,12.59112,0.1138941,1.220704,0.9983345,-0.1705316
1.11,12.60014,0.1099877,1.238694,0.9983656,-0.1690425
1.11,12.61971,0.106467,1.255518,0.9983967,-0.1655068
1.11,12.67099,0.104107,1.268833,0.9984278,-0.159475
1.11,12.72228,0.101747,1.282149,0.9984589,-0.1506522
1.12,12.77356,0.09938711,1.295463,0.99849,-0.1391336
1.12,12.82485,0.09702709,1.308779,0.9985211,-0.1251441
1.12,12.87614,0.09466706,1.322094,0.9985523,-0.1089084
1.12,12.92745,0.09230581,1.335417,0.9985834,-0.09068302
1.12,13.03257,0.09130175,1.345453,0.9986055,-0.07075626
1.12,13.13774,0.0902971,1.355495,0.9986278,-0.0500855
1.12,13.24292,0.08929244,1.365536,0.99865,-0.02959841
1.13,13.3481,0.08828779,1.375578,0.9986722,-0.01019303
1.13,13.45327,0.08728313,1.38562,0.9986944,0.007232733
1.13,13.55844,0.08627855,1.395661,0.9987167,0.02180692
1.13,13.66205,0.08589779,1.40319,0.9987355,0.03273484
1.13,13.76514,0.08572444,1.409883,0.9987533,0.04000179
1.13,13.86822,0.08555111,1.416577,0.9987711,0.04386924
1.14,13.9713,0.08537778,1.423269,0.9987889,0.04464917
1.14,14.07439,0.08520444,1.429963,0.9988067,0.04265364
1.14,14.17747,0.0850311,1.436656,0.9988245,0.03819474
1.14,14.28341,0.08499564,1.441568,0.99884,0.0319191
1.14,14.39219,0.08509786,1.444701,0.9988533,0.02441384
1.14,14.50097,0.08520007,1.447834,0.9988667,0.01620671
1.15,14.60975,0.08530229,1.450968,0.99888,0.007890154
1.15,14.71854,0.08540451,1.454101,0.9988933,0.0000565
1.15,14.82732,0.08550673,1.457235,0.9989066,-0.006701893
1.15,14.93096,0.08561895,1.459792,0.9989188,-0.0121826
1.15,15.01923,0.08576117,1.460623,0.9989278,-0.01634667
1.15,15.1075,0.08590339,1.461454,0.9989367,-0.0192562
1.16,15.19577,0.08604562,1.462285,0.9989455,-0.02117788
1.16,15.28403,0.08618782,1.463116,0.9989544,-0.02244629
1.16,15.3723,0.08633005,1.463947,0.9989634,-0.02339594
1.16,15.46056,0.08647226,1.464778,0.9989722,-0.02433158
1.16,15.50097,0.08641447,1.464565,0.9989767,-0.02552839
1.16,15.54137,0.08635669,1.464351,0.9989811,-0.0273908
1.16,15.58177,0.08629892,1.464138,0.9989856,-0.03023075
1.17,15.62217,0.08624114,1.463925,0.99899,-0.03426776
1.17,15.66257,0.08618336,1.463711,0.9989945,-0.03972137
1.17,15.70297,0.08612558,1.463498,0.9989989,-0.04679414
1.17,15.70616,0.08609781,1.463391,0.999,-0.05563816
1.17,15.69693,0.08608002,1.46332,0.999,-0.06599644
1.17,15.68771,0.08606225,1.463249,0.999,-0.07751769
1.18,15.67849,0.08604447,1.463178,0.999,-0.08997448
1.18,15.66926,0.08602669,1.463107,0.999,-0.1031394
1.18,15.66004,0.08600891,1.463036,0.999,-0.1167851
1.18,15.64745,0.0858201,1.459866,1.000455,-0.1306196
1.18,15.6315,0.08546011,1.453595,1.003366,-0.144536
1.18,15.61555,0.08510012,1.447324,1.006277,-0.1586121
1.19,15.59959,0.08474015,1.441054,1.009188,-0.172799
1.19,15.58364,0.08438016,1.434783,1.012099,-0.1870477
1.19,15.56769,0.08402018,1.428512,1.01501,-0.2013094
1.19,15.56074,0.08368348,1.421712,1.020634,-0.2157396
1.19,15.58084,0.08341685,1.413321,1.03441,-0.2304788
1.19,15.60094,0.08315019,1.40493,1.048188,-0.2454202
1.2,15.62104,0.08288354,1.39654,1.061966,-0.2604009
1.2,15.64114,0.08261688,1.388149,1.075743,-0.2752397
1.2,15.66124,0.08235022,1.379758,1.089521,-0.2897553
1.2,15.68135,0.08208345,1.371363,1.103305,-0.3036738
1.2,15.72195,0.08186131,1.360882,1.127959,-0.3166294
1.2,15.76258,0.08163905,1.350396,1.152625,-0.3285094
1.2,15.8032,0.0814168,1.33991,1.177292,-0.3390457
1.21,15.84381,0.08119456,1.329424,1.201957,-0.3478135
1.21,15.88443,0.08097231,1.318938,1.226624,-0.3543885
1.21,15.92505,0.08075005,1.308452,1.25129,-0.3583878
1.21,15.9708,0.08051115,1.296413,1.284136,-0.3595519
1.21,16.01825,0.08026671,1.283857,1.3197,-0.357733
1.21,16.06569,0.0800223,1.271303,1.355262,-0.3528543
1.22,16.11314,0.07977787,1.258748,1.390826,-0.3449423
1.22,16.16059,0.07953343,1.246192,1.42639,-0.3340235
1.22,16.20804,0.079289,1.233637,1.461954,-0.3201241
1.22,16.26575,0.07905348,1.220042,1.50294,-0.3031436
1.22,16.3337,0.07882682,1.205406,1.549344,-0.283294
1.22,16.40166,0.07860016,1.190771,1.595748,-0.2610991
1.23,16.46962,0.07837351,1.176136,1.642152,-0.2373828
1.23,16.53758,0.07814687,1.161502,1.688553,-0.2129685
1.23,16.60554,0.07792021,1.146866,1.734957,-0.1886799
1.23,16.67578,0.07759902,1.131707,1.784059,-0.1652856
1.23,16.75285,0.07699462,1.114978,1.841246,-0.1434661
1.23,16.82993,0.07639023,1.09825,1.898432,-0.1236965
1.24,16.907,0.07578588,1.081522,1.955614,-0.1064076
1.24,16.98407,0.07518148,1.064794,2.0128,-0.09201597
1.24,17.06115,0.07457709,1.048065,2.069986,-0.08093809
1.24,17.13821,0.07397278,1.031339,2.127164,-0.07343436
1.24,17.22202,0.07371058,1.025059,2.189315,-0.06960852
1.24,17.30583,0.07344838,1.018778,2.251462,-0.06896488
1.24,17.38963,0.07318619,1.012498,2.313608,-0.07087266
1.25,17.47343,0.072924,1.006218,2.375754,-0.07456635
1.25,17.55723,0.07266181,0.999938,2.437901,-0.07928035
1.25,17.64103,0.07239964,0.9936583,2.500042,-0.08428366
1.25,17.70766,0.07171413,0.9889881,2.553976,-0.08894823
1.25,17.76857,0.07088751,0.9848546,2.605171,-0.09273329
1.25,17.82947,0.07006087,0.9807211,2.656367,-0.09522332
1.26,17.89037,0.0692343,0.976588,2.707558,-0.09629004
1.26,17.95128,0.06840766,0.9724545,2.758753,-0.09580512
1.26,18.01218,0.06758103,0.968321,2.809949,-0.09364064
1.26,18.03208,0.06663887,0.9652272,2.855675,-0.08996842
1.26,18.01094,0.0655812,0.9631739,2.895925,-0.08523051
1.26,17.9898,0.06452344,0.9611205,2.936178,-0.08013802
1.27,17.96866,0.0634657,0.959067,2.976431,-0.07512984
1.27,17.94752,0.06240794,0.9570135,3.016684,-0.07064497
1.27,17.92637,0.06135019,0.9549601,3.056937,-0.0671223
1.27,17.89158,0.06032692,0.9534116,3.094457,-0.06495716
1.27,17.81574,0.05940694,0.9533804,3.123772,-0.06433792
1.27,17.7399,0.05848697,0.9533492,3.153088,-0.06487867
1.28,17.66406,0.05756699,0.9533179,3.182403,-0.06623301
1.28,17.58823,0.05664708,0.9532867,3.211716,-0.06806771
1.28,17.51239,0.05572711,0.9532554,3.241032,-0.07004962
1.28,17.43652,0.05480672,0.9532242,3.27036,-0.07171045
1.28,17.30602,0.05418468,0.9552191,3.288898,-0.07244758
1.28,17.17546,0.05356236,0.9572148,3.307443,-0.07220294
1.28,17.04491,0.05294009,0.9592105,3.325988,-0.07104991
1.29,16.91435,0.05231777,0.9612063,3.344534,-0.0691935
1.29,16.78379,0.05169545,0.9632021,3.363079,-0.06683867
1.29,16.65323,0.05107313,0.9651978,3.381625,-0.06428648
1.29,16.48561,0.05126816,0.9687343,3.392168,-0.06212528
1.29,16.30566,0.05173476,0.972783,3.400052,-0.06086414
1.29,16.12571,0.05220137,0.9768317,3.407937,-0.06089998
1.3,15.94576,0.05266798,0.9808804,3.415821,-0.06237295
1.3,15.76583,0.05313455,0.9849288,3.423705,-0.06542317
1.3,15.58588,0.05360116,0.9889775,3.43159,-0.07019065
1.3,15.36212,0.05443254,0.9909155,3.435597,-0.07654321
1.3,15.09464,0.05562804,0.9907466,3.435735,-0.08408523
1.3,14.82715,0.05682353,0.9905778,3.435873,-0.09215841
