Depth,Gamma,K,U,TH,MagSusc
0.56,16.02098,0.07059105,1.561165,0.4425522,-0.1090933
0.56,15.9431,0.07009772,1.588241,0.4608231,-0.1048484
0.56,15.86522,0.06960441,1.615315,0.4790933,-0.1023886
0.56,15.78737,0.06911124,1.642382,0.4973581,-0.1019261
0.56,15.70263,0.06867111,1.666896,0.5199645,-0.1035066
0.56,15.61791,0.06823111,1.691403,0.5425642,-0.1067391
0.56,15.5332,0.06779111,1.715909,0.5651631,-0.1111785
0.57,15.44849,0.06735111,1.740416,0.5877628,-0.1163427
0.57,15.36377,0.06691112,1.764922,0.6103617,-0.1217475
0.57,15.27906,0.06647111,1.789429,0.6329615,-0.1269179
0.57,15.25698,0.06609446,1.810375,0.652874,-0.1314255
0.57,15.25576,0.06573891,1.830134,0.6718911,-0.1350231
0.57,15.25455,0.06538334,1.849895,0.6909088,-0.1375401
0.58,15.25333,0.0650278,1.869654,0.7099259,-0.1388188
0.58,15.25211,0.06467224,1.889415,0.7289436,-0.1387119
0.58,15.25089,0.06431669,1.909174,0.7479607,-0.137069
0.58,15.25587,0.06401668,1.925983,0.7651405,-0.1339606
0.58,15.26704,0.06377224,1.939841,0.7804822,-0.1295421
0.58,15.27821,0.06352779,1.953699,0.7958244,-0.1240597
0.59,15.28938,0.06328334,1.967557,0.8111661,-0.1178414
0.59,15.30055,0.06303889,1.981415,0.8265083,-0.111206
0.59,15.31171,0.06279443,1.995273,0.8418505,-0.1044975
0.59,15.33257,0.0625833,2.007334,0.8562526,-0.09794145
0.59,15.38248,0.06247219,2.014001,0.8678349,-0.0917236
0.59,15.4324,0.06236108,2.020668,0.8794167,-0.08598854
0.60,15.48231,0.06224996,2.027335,0.890999,-0.08084507
0.60,15.53223,0.06213885,2.034002,0.9025807,-0.07640705
0.60,15.58214,0.06202773,2.040668,0.9141631,-0.07277927
0.60,15.63207,0.06191659,2.047337,0.9257479,-0.07003713
0.60,15.71615,0.06194324,2.046547,0.933537,-0.06819686
0.60,15.80025,0.0619699,2.045756,0.9413279,-0.06711581
0.60,15.88436,0.06199656,2.044965,0.9491191,-0.06676099
0.61,15.96846,0.06202322,2.044175,0.9569103,-0.06720793
0.61,16.05256,0.06204988,2.043384,0.9647011,-0.06853393
0.61,16.13667,0.06207654,2.042593,0.9724923,-0.0708261
0.61,16.22746,0.06219317,2.037018,0.9773887,-0.07418784
0.61,16.32049,0.06233986,2.029843,0.9813184,-0.07877318
0.61,16.41351,0.06248654,2.022669,0.985248,-0.08465265
0.62,16.50654,0.06263323,2.015495,0.9891778,-0.09160193
0.62,16.59957,0.06277992,2.008321,0.9931073,-0.0994093
0.62,16.69259,0.06292661,2.001146,0.9970371,-0.1078526
0.62,16.7784,0.06309998,1.992526,0.9989994,-0.1168042
0.62,16.85701,0.06329998,1.982464,0.9989995,-0.1258882
0.62,16.93561,0.06349997,1.972402,0.9989996,-0.1345369
0.63,17.01422,0.06369996,1.96234,0.9989997,-0.1422332
0.63,17.09282,0.06389996,1.952278,0.9989998,-0.1484559
0.63,17.17142,0.06409995,1.942216,0.999,-0.1526966
0.63,17.22587,0.0642877,1.932784,0.999,-0.1544124
0.63,17.20803,0.06443881,1.925238,0.999,-0.1532488
0.63,17.19019,0.06458993,1.917691,0.999,-0.1494315
0.64,17.17235,0.06474103,1.910144,0.999,-0.1433625
0.64,17.15451,0.06489215,1.902597,0.999,-0.1354992
0.64,17.13667,0.06504326,1.895051,0.999,-0.1263055
0.64,17.11884,0.06519432,1.887506,0.999,-0.1163381
0.64,17.04287,0.06522545,1.88603,0.999,-0.1062778
0.64,16.96694,0.06525657,1.884554,0.999,-0.09668269
0.64,16.891,0.06528769,1.883078,0.999,-0.08812656
0.65,16.81506,0.06531882,1.881602,0.999,-0.08124643
0.65,16.73912,0.06534994,1.880126,0.999,-0.07664475
0.65,16.66319,0.06538106,1.87865,0.999,-0.07483891
0.65,16.56315,0.06530548,1.882672,0.999,-0.07605061
0.65,16.4551,0.06519438,1.888525,0.999,-0.08016285
0.65,16.34704,0.06508327,1.894377,0.999,-0.08689641
0.66,16.23899,0.06497218,1.90023,0.999,-0.09584626
0.66,16.13093,0.06486107,1.906083,0.999,-0.1065774
0.66,16.02287,0.06474997,1.911936,0.999,-0.118681
0.66,15.89772,0.06456775,1.921453,0.999,-0.1318
0.66,15.75547,0.06431443,1.934635,0.999,-0.1455114
0.66,15.61322,0.06406112,1.947816,0.999,-0.1593649
0.67,15.47097,0.0638078,1.960998,0.999,-0.1728303
0.67,15.32873,0.06355449,1.974179,0.999,-0.1853991
0.67,15.18648,0.06330116,1.987361,0.999,-0.1965173
0.67,15.04372,0.06301231,2.002373,0.999,-0.2058484
0.67,14.89939,0.06261677,2.022884,0.999,-0.2131903
0.67,14.75508,0.06222124,2.043394,0.999,-0.2186103
0.68,14.61076,0.06182569,2.063904,0.999,-0.2222749
0.68,14.46644,0.06143015,2.084414,0.999,-0.2243659
0.68,14.32212,0.06103462,2.104924,0.999,-0.2250706
0.68,14.17777,0.06063901,2.125438,0.999,-0.2245999
0.68,14.07492,0.06012357,2.152014,0.999,-0.2231981
0.68,13.97204,0.05960803,2.178596,0.999,-0.2212179
0.68,13.86917,0.0590925,2.205177,0.999,-0.2188935
0.69,13.76629,0.05857696,2.231759,0.999,-0.2163329
0.69,13.66342,0.05806143,2.258339,0.999,-0.2136484
0.69,13.56054,0.05754588,2.284921,0.999,-0.2109018
0.69,13.47815,0.05705027,2.310399,0.999,-0.2080278
0.69,13.40261,0.0565613,2.33551,0.999,-0.2047797
0.69,13.32707,0.05607234,2.36062,0.999,-0.2009122
0.70,13.25153,0.05558337,2.385731,0.999,-0.1963505
0.70,13.17598,0.05509439,2.410842,0.999,-0.1910117
0.70,13.10044,0.05460544,2.435952,0.999,-0.1848199
0.70,13.0386,0.05418549,2.457392,0.999,-0.1776336
0.70,12.99042,0.05383439,2.475169,0.999,-0.169575
0.70,12.94224,0.05348328,2.492947,0.999,-0.1609882
0.71,12.89407,0.05313218,2.510724,0.999,-0.1521496
0.71,12.84589,0.05278106,2.528502,0.999,-0.1433412
0.71,12.79771,0.05242996,2.546279,0.999,-0.1348299
0.71,12.7593,0.05213007,2.560651,0.999774,-0.1269816
0.71,12.75008,0.05198341,2.564833,1.002863,-0.1200761
0.71,12.74086,0.05183674,2.569016,1.005952,-0.1140496
0.72,12.73164,0.05169006,2.573198,1.00904,-0.1089116
0.72,12.72242,0.0515434,2.57738,1.012129,-0.1046633
0.72,12.7132,0.05139673,2.581563,1.015218,-0.101314
0.72,12.70398,0.05125012,2.585743,1.018306,-0.09875406
0.72,12.73477,0.05139683,2.576945,1.032381,-0.09674663
0.72,12.76554,0.05154348,2.56815,1.046451,-0.09520931
0.72,12.79632,0.05169013,2.559354,1.060521,-0.0941544
0.73,12.82709,0.05183677,2.550559,1.074591,-0.0936976
0.73,12.85787,0.05198342,2.541764,1.088661,-0.09394958
0.73,12.88864,0.05213007,2.532969,1.10273,-0.09507894
0.73,12.9202,0.05257014,2.51438,1.130961,-0.09741954
0.73,12.95201,0.05310789,2.492532,1.163906,-0.1012118
0.73,12.98382,0.05364562,2.470684,1.196849,-0.1065405
0.74,13.01563,0.05418337,2.448835,1.229794,-0.1131381
0.74,13.04745,0.0547211,2.426988,1.262738,-0.1207142
0.74,13.07926,0.05525885,2.405139,1.295682,-0.1289982
0.74,13.10832,0.05599218,2.376763,1.338066,-0.1376397
0.74,13.13464,0.05692104,2.341861,1.389886,-0.1460852
0.74,13.16096,0.05784986,2.306961,1.441704,-0.1536016
0.75,13.18728,0.05877872,2.272059,1.493524,-0.1596224
0.75,13.2136,0.05970754,2.237159,1.545343,-0.1635905
0.75,13.23991,0.0606364,2.202257,1.597163,-0.1649321
0.75,13.2782,0.06169859,2.165346,1.653712,-0.1631403
0.75,13.35238,0.0631607,2.12241,1.724445,-0.157959
0.75,13.42657,0.06462288,2.079473,1.79518,-0.1498621
0.76,13.50075,0.066085,2.036537,1.865913,-0.139473
0.76,13.57493,0.06754717,1.9936,1.936649,-0.1274785
0.76,13.64911,0.0690093,1.950664,2.007382,-0.1145485
0.76,13.72331,0.07047169,1.907721,2.078128,-0.1014933
0.76,13.83736,0.07261346,1.861556,2.167803,-0.08918315
0.76,13.95144,0.07475563,1.815383,2.257494,-0.07813497
0.76,14.06551,0.07689772,1.769212,2.347182,-0.06880195
0.77,14.17958,0.07903989,1.723038,2.436873,-0.06154791
0.77,14.29365,0.08118206,1.676865,2.526564,-0.05675526
0.77,14.40772,0.08332415,1.630694,2.616251,-0.05468021
0.77,14.51225,0.08587654,1.591486,2.715537,-0.0552174
0.77,14.6136,0.08856578,1.554605,2.818021,-0.05793842
0.77,14.71495,0.09125513,1.517722,2.920509,-0.06227257
0.78,14.81629,0.09394437,1.480841,3.022994,-0.06756196
0.78,14.91764,0.09663372,1.443959,3.125482,-0.07315813
0.78,15.01898,0.09932296,1.407078,3.227966,-0.07840437
0.78,15.10424,0.1021968,1.374236,3.328939,-0.08282922
0.78,15.17344,0.1052544,1.345424,3.428397,-0.08610489
0.78,15.24265,0.1083121,1.316611,3.527859,-0.08802989
0.79,15.31186,0.1113699,1.287798,3.627321,-0.08852855
0.79,15.38106,0.1144275,1.258986,3.726779,-0.08752028
0.79,15.45027,0.1174853,1.230173,3.826241,-0.08492654
0.79,15.51631,0.1205863,1.203419,3.920989,-0.0808273
0.79,15.57288,0.1238174,1.182819,4.001657,-0.07541645
0.79,15.62944,0.1270484,1.16222,4.082322,-0.06905234
0.80,15.68601,0.1302795,1.14162,4.16299,-0.06208286
0.80,15.74258,0.1335105,1.121021,4.243654,-0.05482624
0.80,15.79915,0.1367415,1.100422,4.324322,-0.04760638
0.80,15.85569,0.1399711,1.079832,4.404951,-0.04068234
0.80,15.86336,0.143377,1.06744,4.466851,-0.03422809
0.80,15.87103,0.1467814,1.055053,4.528724,-0.02820973
0.80,15.87869,0.1501857,1.042667,4.590594,-0.02264836
0.81,15.88636,0.1535902,1.030281,4.652466,-0.01765094
0.81,15.89403,0.1569945,1.017895,4.714336,-0.01330504
0.81,15.9017,0.1603989,1.005508,4.776209,-0.009675771
0.81,15.85806,0.1635965,0.9983606,4.823917,-0.00674394
0.81,15.79734,0.1667254,0.9929563,4.866914,-0.004547735
0.81,15.73663,0.1698541,0.9875522,4.909909,-0.003191982
0.82,15.67592,0.172983,0.9821478,4.952906,-0.002896841
0.82,15.61521,0.1761118,0.9767436,4.995902,-0.003885544
0.82,15.55449,0.1792407,0.9713393,5.038898,-0.006377578
0.82,15.4773,0.1820073,0.9688116,5.072414,-0.01070488
0.82,15.38364,0.1844116,0.9691583,5.096455,-0.01706284
0.82,15.28998,0.1868161,0.969505,5.120497,-0.02552441
0.83,15.19632,0.1892205,0.9698518,5.144538,-0.03580689
0.83,15.10266,0.191625,0.9701985,5.16858,-0.04764448
0.83,15.009,0.1940293,0.9705452,5.19262,-0.06073286
0.83,14.91197,0.1962693,0.9707631,5.212695,-0.07477024
0.83,14.80484,0.198016,0.9705942,5.22087,-0.08935524
0.83,14.69771,0.1997627,0.9704254,5.229044,-0.1038414
0.84,14.59059,0.2015093,0.9702566,5.237219,-0.1176877
0.84,14.48346,0.203256,0.9700877,5.245394,-0.130358
0.84,14.37633,0.2050027,0.9699188,5.25357,-0.1413217
0.84,14.26919,0.2067495,0.96975,5.261745,-0.150126
0.84,14.18735,0.2079272,0.9696833,5.261946,-0.156349
0.84,14.10551,0.209105,0.9696167,5.262146,-0.1603004
0.84,14.02366,0.2102827,0.96955,5.262347,-0.162332
0.85,13.94181,0.2114605,0.9694833,5.262548,-0.1628491
0.85,13.85996,0.2126383,0.9694166,5.262749,-0.1622597
0.85,13.77812,0.213816,0.9693499,5.262949,-0.1610075
0.85,13.70574,0.2146406,0.9693033,5.26309,-0.1596535
0.85,13.63654,0.2153473,0.9692633,5.26321,-0.1586042
0.85,13.56733,0.216054,0.9692233,5.26333,-0.1581852
0.86,13.49812,0.2167607,0.9691833,5.26345,-0.1586569
0.86,13.42892,0.2174673,0.9691433,5.26357,-0.1602786
0.86,13.35971,0.218174,0.9691033,5.26369,-0.1633115
0.86,13.311,0.2188829,0.9690633,5.263812,-0.1676678
0.86,13.28281,0.2195942,0.9690233,5.263937,-0.1731593
0.86,13.25463,0.2203054,0.9689832,5.264061,-0.1794703
0.87,13.22644,0.2210167,0.9689432,5.264185,-0.1860778
0.87,13.19826,0.221728,0.9689032,5.26431,-0.1924542
0.87,13.17007,0.2224392,0.9688632,5.264434,-0.1980682
0.87,13.15366,0.2233298,0.9688143,5.26459,-0.2024805
0.87,13.17241,0.2247564,0.9687388,5.264839,-0.2053118
0.87,13.19116,0.2261831,0.9686633,5.265088,-0.2063198
0.88,13.20992,0.2276097,0.9685877,5.265337,-0.2053686
0.88,13.22867,0.2290363,0.9685122,5.265585,-0.202367
0.88,13.24742,0.230463,0.9684367,5.265834,-0.1972214
0.88,13.26617,0.2318889,0.9683611,5.266083,-0.1898969
0.88,13.28493,0.2342678,0.9682366,5.266496,-0.1804018
0.88,13.30368,0.2366456,0.9681122,5.26691,-0.1691993
0.88,13.32243,0.2390232,0.9679878,5.267323,-0.156713
0.89,13.34119,0.241401,0.9678633,5.267737,-0.1433818
0.89,13.35994,0.2437787,0.9677389,5.26815,-0.1296085
0.89,13.37869,0.2461565,0.9676144,5.268564,-0.1157846
0.89,13.40327,0.2492479,0.9674533,5.2691,-0.1022441
0.89,13.42979,0.2525766,0.96728,5.269678,-0.08907317
0.89,13.45631,0.2559055,0.9671066,5.270256,-0.076348
0.90,13.48283,0.2592342,0.9669333,5.270833,-0.06427167
0.90,13.50935,0.2625631,0.9667599,5.27141,-0.05303084
0.90,13.53587,0.2658918,0.9665866,5.271988,-0.04285714
0.90,13.55659,0.2696965,0.9663888,5.272648,-0.03371532
0.90,13.57151,0.2739763,0.9661666,5.27339,-0.02563695
0.90,13.58642,0.2782563,0.9659444,5.274133,-0.0186863
0.91,13.60134,0.2825361,0.9657221,5.274875,-0.01303991
0.91,13.61625,0.2868161,0.9654999,5.275618,-0.008869153
